id,data,feat_C_is_measurable,feat_E_has_commitment_verb,feat_A_is_historical,feat_A_is_historical_analysis,feat_B_is_risk_disclosure,feat_B_is_risk_disclosure_analysis,feat_D_has_hedging_words,feat_D_has_hedging_words_analysis
10011,"為提升水資源之使用效率,公司妥善利用水資源,並採取可行的污染防治和控制技術。水資源節約亦是能資源節約計畫的一環,以加強水資源的利用效率為目標,定期針對節水績效加以檢討並持續改善。目前某公司各營運中心及廠區主要用水來源皆為自來水,近年來積極推動相關節水活動,各營運中心及廠區皆擬訂並實施節約用水之管控措施,如華東營運中心加強了水龍頭省水設計與在生產考量情況下調整廠區衛生間沖水時間,用水量也隨之下降。而水污染防治亦從節約用水做起,某公司各營運中心及廠區除擬訂並實施節約用水之管控措施外,亦在各類耗水設備運作中,積極尋求水資源回收的可行性。",0,0,1,Step 1: 文本描述中包含了多個時間錨點: 目前情況與近年來。核心動作包括妥善利用水資源、積極推動節水活動，以及實施節約用水之管控措施。Step 2: 這些節約用水與管控措施目前已經在執行中，且有具體實施情況，如華東營運中心的改善措施。Step 3: 雖然提到提升利用效率為目標，但現行措施與已取得的水資源回收成效是文本的核心。Step 4: 依據Edge Case Guidelines，描述現狀與持續進行的管理措施，判定為歷史/現狀，故為 1。,0,Step 1: 文本主詞是公司自己在水資源與污染防治方面的措施。Step 2: 描述的是公司主動採取的節水和污染防治措施及其績效，不是未來情境下的衝擊或損失。Step 3: 這是關於節水與污染防治的主動措施，不涉及外部因素的財務衝擊。Step 4: 判定為 0。,1,Step 1: 文本中使用了一些軟詞如“妥善利用”、“可行的”、“積極推動”、“擬訂並實施”、“尋求可行性”。Step 2: 虽然提到具体措施，如水龙头省水设计、调整冲水时间，但没有提供明確的时间、數字或認證來覆蓋軟詞。Step 3: 缺乏具體目標和成果，这些措施的效果無法被第三方客觀查證。Step 4: 雖有部分具體措施，但整體偏向願景描述，判定為 1。
10012,"某公司要求所有供應商遵守雙方企業社會責任政策內容,並積極與供應商合作投入供應鏈永續管理,確保安全的工作環境、有尊嚴的勞工關係、誠信經營及促進環境保護。在 2024 年的隨機抽查中,共評鑑 325 家供應商,雖有零星個案發生品質或效率不佳之問題,但廠商均已於要求期限內完成改善,最終所有抽查之供應商皆通過評鑑。某公司將持續落實現行標準,並依循法規與國際公約的變化調整管理措施,推動所有新舊供應商簽署承諾書及永續評鑑表,以深化供應鏈的永續發展。",1,1,1,Step 1: 文本核心涉及2024年的隨機抽查及供應鏈管理。核心動作為確保供應商改善並通過評鑑。Step 2: 評鑑325家供應商並通過，是已經發生的事實。Step 3: 未來會持續落實現行標準及推進新政策，但文本核心仍是已完成的抽查與改善。Step 4: 判定為歷史/現狀，故為 1。,0,Step 1: 文本核心主詞是公司本身的行動。Step 2: 描述的是公司與供應商合作投入的管理措施及2024年的改善成果。Step 3: 涉及的內容為公司主動執行的永續管理和評鑑活動，不是未來情境衝擊。Step 4: 屬於主動承諾和措施，判定為 0。,0,Step 1: 包含積極合作、確保安全環境、持續落實、推動簽署等軟詞。Step 2: 核心包含2024年抽查、325家供應商、完成改善並通過評鑑，具體可查證。Step 3: 評鑑結果和改善過程可以被第三方查證。Step 4: 軟詞只是附帶修辭，硬證據已覆蓋，判定為 0。
10013,"我們總結某公司 2024 年永續報告書內容,對於某公司之相關運作與績效則提供了一個公平的觀點。基於保證範圍限制事項,某公司所提供資訊數據以及經檢視之測試,此報告書並無重大之不實陳述;而報告書中有關水與放流水主題之具體管理方針及績效指標內容則為實質正確之呈現。報告書所揭露之永續績效資訊展現了某公司識別利害關係人的努力。",1,0,1,Step 1: 核心動作是總結2024年永續報告書內容，對於績效提供公平觀點。時間錨點是2024年。Step 2: 報告書內容已經完成，且已揭露內容被驗證不存在重大不實陳述。Step 3: 文本核心為2024年的已完成報告內容與檢視成果。Step 4: 判定為歷史/現狀，故為 1。,0,Step 1: 文本核心主詞是公司本身的行動與績效。Step 2: 描述的是管理方針及績效指標，屬於公司主動提供的報告內容。Step 3: 是水與放流水的管理與績效，屬於公司永續資訊，非未來風險或損失。Step 4: 判定為 0。,0,"Step 1: 出現""基於保證範圍限制事項""、""努力""等軟詞。Step 2: 提及2024年永續報告書，且報告中針對水與放流水有明確管理方針及績效指標實質正確之呈現，這些有助於覆蓋模糊性。Step 3: 雖有部分抽象描述，但具體管理方針及績效可查證。Step 4: 軟詞並非核心，避免過度判定為1，故判定為0。"
10014,"某公司透過產品再設計、低碳材料議合及材料循環利用等措施,積極推動供應鏈範疇三的減碳行動,並依據以下流程,集團在各事業單位內逐步實施年度減碳對策。以 2021 年作為減碳目標的基準年,並依照集團的 SBT 目標,預計至 2030 年,範疇三碳排放將降低 25%。",1,1,0,Step 1: 句中包含過去和未來，核心動作為擬定的流程和預計減碳目標。時間錨點包括2021年為基準年和2030年目標。Step 2: 減碳行動的核心成果是2030年降低25%，尚未達成。Step 3: 主要著重於未來的減碳目標。Step 4: 判定為未來，故為 0。,0,Step 1: 文本核心主詞是公司本身的行動與目標。Step 2: 描述的是公司主動要達成的減碳目標與措施，不是未來情境造成的衝擊。Step 3: 這是公司主動的永續政策與承諾，不是單純數據揭露。Step 4: 依據原則，判定為 0。,0,"Step 1: 文中使用了""積極推動""等軟詞，但具體推動措施有列出。Step 2: 提供了減碳基準年（2021年）、目標年份（2030年）與具體的減碳目標（降低25%）。Step 3: 明確的目標與基準年，可以讓第三方查證進度和結果。Step 4: 具體數字與目標覆蓋軟詞，應避免過度判成1。"
10015,"透過創新科技解決城市治理與產業的痛點,並減緩社會問題,是某公司在數位轉型的發展重點。某公司在數位轉型升級的道路上,致力透過「大、人、物」(大數據、人工智慧、物聯網) 核心資通訊職能,深耕智慧城市、智慧製造、數位轉型、低碳營運、消費者應用、智慧醫療等關鍵技術領域,並攜手客戶、供應商等七大利害關係人,齊力邁向企業、社會、環境三贏的目標。某公司發揮企業影響力,透過 5G 及雲端技術、大數據分析、IoT 等應用,運用在遠距診療服務、智慧路燈、智慧城市、智慧停車、空氣品質監控、大數據人潮解析等,協助政府機關解決交通、空氣品質等問題。",0,0,1,Step 1: 句中的核心動作是利用創新科技解決問題，並運用多種技術於不同領域，時間錨點不明確。Step 2: 文中描述的是公司目前的技術應用與合作，暗示這些行動已經在進行。Step 3: 沒有具體未來目標的核心表述，主要聚焦於目前的技術運用。Step 4: 按Edge Case Guidelines，這是現行作法和影響的描述，所以判定為歷史/現狀，故為 1。,0,Step 1: 文本核心是公司本身的行動與績效。Step 2: 動作是公司在數位轉型中採用的技術和合作策略，沒有描述未來情境衝擊或損失。Step 3: 不是單純數據揭露或風險管理流程。Step 4: 屬於公司主動發起的永續政策與承諾，判定為 0。,1,Step 1: 文中使用的詞語如透過、致力、深耕、齊力邁向等多為公關軟詞。Step 2: 缺乏明確的時間、數字或具體成果來證實這些陳述。Step 3: 總體主張包括智慧城市、智慧製造及低碳營運等，缺乏可被第三方客觀查證的具體行動或成果。Step 4: 軟詞為主，沒有硬證據覆蓋，因此判定為 1。
10016,"某公司亦不定期進行小規模員工敬業度調查,2024年台灣廠區調查顯示,有80%員工願意在相同條件下繼續留任,其中女性員工投入度更達86%。為進一步了解績優員工的職場體驗,針對高績效同仁實施不記名投入度評估,結果顯示在成長機會與工作期待方面得分高,但在被肯定與讚賞的感受相對較低。對此,公司為主官規劃相關回饋訓練課程,透過情境模擬協助主管提升正向回饋能力。",1,1,0,Step 1: 文本中提到的核心動作包括2024年進行的調查和高績效員工的評估，已經發生。核心未來計畫是規劃相關訓練以提高正向回饋能力。Step 2: 調查和評估結果已經發生，但公司正在規劃未來的訓練課程。Step 3: 雖然包含過去的調查和評估，但文本核心是未來的訓練計畫。Step 4: 根據這些信息，判定為未來，故為 0。,0,Step 1: 主詞是公司進行的員工敬業度調查與行動。Step 2: 數字是員工調查結果與公司計畫改善項目，無未來財務衝擊揭露。Step 3: 這是一般數據與主動改善行動揭露，應排除為 0。Step 4: 判定為 0。,0,Step 1: 文中沒有使用過多的公關軟詞或條件式逃脫。Step 2: 提供了2024年的具體調查結果，如80%員工繼續留任和女性員工投入度86%。Step 3: 調查數據和實施的培訓課程可以被第三方查證。Step 4: 沒有過度使用軟詞，故判定為0。
10017,"某公司致力於穩健經營,確保公司財務穩定與持續成長,並兼顧股東權益、員工發展與社會責任。我們透過創新產品與服務、多元化營運布局及強化供應鏈韌性,提升企業競爭力,並承諾遵循財務與稅務法規,維持高標準的財務透明度與公司治理。",0,1,1,Step 1: 文本中只有『承諾遵循財務與稅務法規』有未來傾向，其他如『穩健經營、持續成長、提升競爭力』未具體說明時態。Step 2: 依據用語，其他經營行為似乎描述的是現行策略與管理常態。Step 3: 未來承諾並非文本核心。Step 4: 核心為經營現況與策略，故判定為歷史/現狀，為 1。,0,Step 1: 文本核心主詞是公司採取的行動和承諾。Step 2: 描述的是公司主動投入資源、提升競爭力和承諾遵循法規，而非未來情境造成的衝擊或損失。Step 3: 不是單純的數據揭露或風險管理流程。Step 4: 判定結論是屬於企業主動發起的承諾，故判定為 0。,1,Step 1: 文中使用了致力於、確保、兼顧、提升、承諾等公關軟詞。Step 2: 主要內容缺乏具體的年份、數字、成果或認證來支撐。Step 3: 此描述無法被第三方會計師客觀查證，因為缺少實質可驗證的成果。Step 4: 軟詞在核心主張中較多，因此判定為 1。
10018,"供應鏈是某公司成為一家具有影響力公司的重要夥伴,積極與供應商共同規劃與推動五大低碳管理方針,涵蓋低碳選商永續策略、完善供應鏈碳資訊、推動材料與機台低碳轉型、導入上游低碳運輸與建立低碳供應鏈等,並透過日月光環保永續基金會舉辦低碳節能永續獎,攜手供應商夥伴一同實現 2050 年淨零排放承諾。 更進一步,日月光在行之有年的供應商評比中,除了品質與交期的評核外,首度納入 10% 的永續績效,同時某公司與供應商組成低碳供應聯盟,正式啟動低碳機台設備專案,攜手 19 家關鍵機台供應商合作推動機台節能設計以達成 2030 年節能 20% 的階段性目標。某公司也深知減碳議題牽涉複雜的層面,要推動實質的改變,不能只靠永續或採購部門的努力。我們展開跨部門合作,多方面影響供應商進行減碳,使行動從企業內部擴展到整個生態圈。同時,提供多元培力資源,包括開設供應鏈永續課程、建立線上學習平台,已有近 2,000 位夥伴參與,共同倡議永續知識與行動的共享平台。",1,1,1,"Step 1: 核心動作包括規劃推動五大低碳方針、實現2050淨零排放承諾、達成2030年節能20%目標及多項正在執行的措施。時間錨點包括實現淨零排放的未來目標（2050），及正在進行的合作與專案。Step 2: 未來目標是實現淨零排放，但有多項目前正在進行的措施，如評比中納入永續績效、啟動低碳機台專案與培力資源已參與近2,000人。Step 3: 雖然包含未來目標，但文本強調目前的實施措施及其進展。Step 4: 依據目前正在進行的措施和成果，判定為歷史/現狀，故為 1。",0,Step 1: 文本核心主詞是公司與供應商的共同行動。Step 2: 描述的是公司主動推行的低碳管理方針、承諾與專案目標，如2050淨零承諾和2030節能目標。Step 3: 這是公司主動的永續政策與措施揭露。Step 4: 根據分析，判定為 0。,0,Step 1: 出現一些軟詞如重要夥伴、積極、深知、不能只靠努力等，但核心段落含有明確行動。Step 2: 文中列舉了五大低碳管理方針、2050年淨零排放承諾、2030年節能20%的目標、供應商評比納入10%永續績效、以及涉及多個具體供應商合作專案。Step 3: 各項目標和行動可以被第三方查證，尤其涉及具體百分比和年份。Step 4: 雖有公關軟詞，但具體行動與數據非常明確且可驗證，故判定為0。
10019,"第二線個資保護專責單位負責督導、協調、監控個人資料保護相關事宜,應至少每年一次向董事會報告,如發現有重大違反個人資料保護相關法令之事件時,應即時向董事會報告。",1,0,1,Step 1: 核心動作是負責督導、協調、監控個人資料保護，時間錨點為每年及即時報告。Step 2: 這是描述目前正在執行的制度與常態性管理。Step 3: 沒有未來目標。Step 4: 判定為歷史/現狀，故為 1。,0,Step 1: 主詞是公司的個資保護管理流程。Step 2: 描述的是內部管理的督導、協調與監控職責，沒有涉及外部環境的影響或針對未來情境的衝擊預測。Step 3: 這是屬於內部程序和報告義務，不涉及外部風險和財務衝擊。Step 4: 判定為 0。,0,Step 1: 句中使用的動詞包括督導、協調、監控，沒有出現公關軟詞或條件式逃脫。Step 2: 具體規定至少每年一次向董事會報告，有明確行動計劃。Step 3: 核心主張可被董事會的記錄或監控報告查證。Step 4: 沒有發現軟詞需要避免過度判成 1，判定為 0。
10020,"某公司堅持長期永續發展的承諾,明確訂定ESG目標,推動並落實行動策略,積極因應外部日益加劇的永續風險與機遇。我們聚焦於綠色智能、循環經濟、幸福發展、共贏共榮、鴻傳永續、海納治理六大核心策略,持續深化ESG數位智能管理平台與治理基礎,系統推進行動方案,實踐責任經營,創造永續價值。《行為準則》是某公司規範全球廠區與員工商業行為的核心依據,也是處理與各類利益相關方關係的基本準則。如當地法律與本準則有所差異或衝突,我們將依法從事,同時遵循更高標準,以確保經營行為符合法律、道德與專業規範,保障公司資產、權益與品牌聲譽。",0,1,1,Step 1: 核心動作是推動行動策略、落實行動、深化管理平台等。時間錨點指向持續深化與系統推進。Step 2: 文本提及的綠色智能、循環經濟等策略與管理平台是正在實施的措施，屬於現行制度與常態性管理。Step 3: 沒有具體未來目標作為核心。Step 4: 依據常態性管理行為，判定為歷史/現狀，故為 1。,0,Step 1: 文本主詞是公司行動與承諾，而不是外部情境。Step 2: 描述的是公司推動ESG目標與行動策略，主動因應風險與機遇，而非未來情境的財務衝擊。Step 3: 沒有單純數據揭露或僅限於風險管理流程。Step 4: 根據主動揭露承諾內容，判定為 0。,0,Step 1: 文中有堅持、持續深化、推動並落實、積極因應等詞，這些存在公關軟詞成分。Step 2: 提到明確訂定ESG目標，但未提供具體目標、數字或成果證據。Step 3: 提到《行為準則》，此為一種制度文件，為部分可查證內容。Step 4: 文字大量使用軟詞，但因有明確制度文件支撐，這句話中的重要部分可被第三方稽核，故判定為 0。
